ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
356	indv	17-sb	left	dlh2	classification	_smote	randomforest	True	1000	None
357	indv	17-sb	left	dlh2	classification	_smote	lr	True	100	None
358	indv	17-sb	left	dlh2	classification	_smote	lr	True	200	None
359	indv	17-sb	left	dlh2	classification	_smote	lr	True	500	None
360	indv	17-sb	left	dlh2	classification	_smote	lr	True	1000	None
361	indv	19-me	left	dlh0	classification	_None	randomforest	True	100	None
362	indv	19-me	left	dlh0	classification	_None	randomforest	True	200	None
363	indv	19-me	left	dlh0	classification	_None	randomforest	True	500	None
364	indv	19-me	left	dlh0	classification	_None	randomforest	True	1000	None
365	indv	19-me	left	dlh0	classification	_None	lr	True	100	None
366	indv	19-me	left	dlh0	classification	_None	lr	True	200	None
367	indv	19-me	left	dlh0	classification	_None	lr	True	500	None
368	indv	19-me	left	dlh0	classification	_None	lr	True	1000	None
369	indv	19-me	left	dlh0	classification	_downsample	randomforest	True	100	None
370	indv	19-me	left	dlh0	classification	_downsample	randomforest	True	200	None
371	indv	19-me	left	dlh0	classification	_downsample	randomforest	True	500	None
372	indv	19-me	left	dlh0	classification	_downsample	randomforest	True	1000	None
373	indv	19-me	left	dlh0	classification	_downsample	lr	True	100	None
374	indv	19-me	left	dlh0	classification	_downsample	lr	True	200	None
375	indv	19-me	left	dlh0	classification	_downsample	lr	True	500	None
376	indv	19-me	left	dlh0	classification	_downsample	lr	True	1000	None
377	indv	19-me	left	dlh0	classification	_smote	randomforest	True	100	None
378	indv	19-me	left	dlh0	classification	_smote	randomforest	True	200	None
379	indv	19-me	left	dlh0	classification	_smote	randomforest	True	500	None
380	indv	19-me	left	dlh0	classification	_smote	randomforest	True	1000	None
381	indv	19-me	left	dlh0	classification	_smote	lr	True	100	None
382	indv	19-me	left	dlh0	classification	_smote	lr	True	200	None
383	indv	19-me	left	dlh0	classification	_smote	lr	True	500	None
384	indv	19-me	left	dlh0	classification	_smote	lr	True	1000	None
385	indv	19-me	left	dlh1	classification	_None	randomforest	True	100	None
386	indv	19-me	left	dlh1	classification	_None	randomforest	True	200	None
387	indv	19-me	left	dlh1	classification	_None	randomforest	True	500	None
388	indv	19-me	left	dlh1	classification	_None	randomforest	True	1000	None
389	indv	19-me	left	dlh1	classification	_None	lr	True	100	None
390	indv	19-me	left	dlh1	classification	_None	lr	True	200	None
391	indv	19-me	left	dlh1	classification	_None	lr	True	500	None
392	indv	19-me	left	dlh1	classification	_None	lr	True	1000	None
393	indv	19-me	left	dlh1	classification	_downsample	randomforest	True	100	None
394	indv	19-me	left	dlh1	classification	_downsample	randomforest	True	200	None
395	indv	19-me	left	dlh1	classification	_downsample	randomforest	True	500	None
396	indv	19-me	left	dlh1	classification	_downsample	randomforest	True	1000	None
397	indv	19-me	left	dlh1	classification	_downsample	lr	True	100	None
398	indv	19-me	left	dlh1	classification	_downsample	lr	True	200	None
399	indv	19-me	left	dlh1	classification	_downsample	lr	True	500	None
400	indv	19-me	left	dlh1	classification	_downsample	lr	True	1000	None
401	indv	19-me	left	dlh1	classification	_smote	randomforest	True	100	None
402	indv	19-me	left	dlh1	classification	_smote	randomforest	True	200	None
403	indv	19-me	left	dlh1	classification	_smote	randomforest	True	500	None
404	indv	19-me	left	dlh1	classification	_smote	randomforest	True	1000	None
405	indv	19-me	left	dlh1	classification	_smote	lr	True	100	None
